Iripa-keyword,,,,,,,,,,,,,,,,,,,,,,,,,
"October 1, 2023 - September 30, 2024",,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024
piscina gunitada precio,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
piscina proyectada,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
piscinas elevadas de hormigón precios,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
precio construccion obra nueva,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
precio construcción chalet,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
precio de construccion por m2,EUR,50,-57%,-40%,Medium,51,0.06,0.17,,,,,,40,40,30,90,70,90,90,70,30,70,40,30
precio de m2 de construccion,EUR,40,25%,25%,Medium,36,0.03,0.15,,,,,,30,40,30,50,50,30,40,40,30,40,30,50
precio m2 construccion obra nueva,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
precio m2 construcción 2021,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
precio m2 obra gris,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,10,10,10,10,0,0,0,10,0
precio m2 obra nueva,EUR,10,0%,-100%,Unknown,,,,,,,,,0,0,0,10,10,0,0,0,0,0,0,0
precio metro cuadrado obra nueva,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
precio metros cuadrados de construccion,EUR,590,-19%,-19%,Low,29,0.05,0.18,,,,,,480,480,480,720,720,720,720,590,480,590,480,480
precio obra civil,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0
precio unitarios de construccion 2022,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
precios actualizados de construcción,EUR,10,-100%,-100%,Unknown,,,,,,,,,10,0,10,10,10,10,10,10,10,10,10,0
precios de construccion civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
precios de construccion civil 2022,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
precios de la construccion,EUR,110,-18%,-36%,Medium,50,0.07,0.19,,,,,,140,140,110,170,110,110,140,110,90,110,90,90
precios de la construccion uocra,EUR,10,0%,0%,Low,14,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
precios de obra civil,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,10,0,0
precios de obra civil 2021,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
precios de obra civil 2022,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
precios obra civil 2022,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
precios unitarios 2022 construccion,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
precios unitarios construccion,EUR,10,0%,0%,Low,0,,,,,,,,0,0,0,0,10,10,10,10,10,10,0,10
precios unitarios construccion 2022,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
precios unitarios de construcción 2021,EUR,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0
precios unitarios de obra civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
precios unitarios obra civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
presupuesto construccion 2022,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
presupuesto construcción 2022,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
presupuesto de construcción 2021,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
presupuesto de construcción 2022,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
presupuesto de obra casa habitacion,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
presupuesto de obra civil,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,10,0,0,0,0,0,0,0
presupuesto de obra de construccion,EUR,10,∞,0%,Low,29,,,,,,,,10,10,10,10,10,10,10,10,10,0,10,10
presupuesto de piscina de obra,EUR,10,0%,0%,Unknown,,,,,,,,,10,10,0,0,0,0,0,10,0,0,10,0
presupuesto detallado construcción casa,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
presupuesto en construccion civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
presupuesto en obras civiles,EUR,10,∞,∞,High,71,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,10
presupuesto para construccion,EUR,10,∞,∞,High,76,,,,,,,,0,0,10,10,10,10,0,10,0,0,0,10
presupuesto para construcción de una casa,EUR,10,-100%,-100%,Unknown,,,,,,,,,0,0,0,10,10,0,0,0,0,10,10,0
procesos de una obra de construccion,EUR,10,∞,0%,Low,14,,,,,,,,10,10,0,0,10,0,10,0,10,0,0,10
procesos y tecnicas de construccion,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,0,0,10,0,0,0,0,0
procsa construcciones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
proimancha,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
proveedora para la construccion regiomontana,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
proyecta construccion,EUR,10,0%,0%,Low,30,,,,,,,,10,10,0,10,10,0,10,0,10,10,10,10
proyecta ingenieros civiles,EUR,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0
proyecto construccion casa,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
proyecto de construccion de una casa,EUR,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,0,0,10,0,0,0,0
proyecto de construcción civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
proyecto de construcción de carreteras,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,0
proyecto de construcción de viviendas,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,0,0
proyectos de construccion civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
proyectos de construcción 2022,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
proyectos de construcción en chiriquí,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
proyectos de obra,EUR,10,0%,0%,Medium,48,,,,,,,,10,10,0,10,10,10,10,20,10,10,10,10
proyectos de obra civil opiniones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
proyectos en construccion armenia,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
proyectos obra civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
proyectos y construcciones,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,10,0,0,0,0,0,0,0,0
proyectos y construcciones sa,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
puntaje de corte construccion civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
puntaje para construccion civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
quincho construccion en seco,EUR,10,0%,-50%,Low,31,0.11,0.33,,,,,,10,20,20,10,20,10,10,10,10,10,10,10
reforma jardin piscina,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
reglamento construccion,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,10,0,0,0,0
reglamento de construccion,EUR,10,-100%,-100%,Unknown,,,,,,,,,10,0,10,10,10,10,10,10,0,10,0,0
reglamento de construcciones 2022,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
reglamento de construcción,EUR,10,-100%,-100%,Unknown,,,,,,,,,10,0,10,10,10,10,10,10,0,10,0,0
reglamento de construcción 2021,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
reglamento de construcción civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
reglamento de construcción pdf,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,0,0,0,0,0,0
reglamento de obra de construcción,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,0
retana salas construcciones y servicios,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
sacyr construccion,EUR,10,-100%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,10,0,10,0,0
sag construcciones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
salas duran construcciones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
san miguel proyectos y construcciones,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
saneamiento y construccion,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
sch consultoría y construcción,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
se busca constructor civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
segura construcciones,EUR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,10,10,10,10,10,0,10,10,0
sehos construccion y servicios,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
semac construcciones,EUR,10,∞,∞,Low,0,,,,,,,,10,10,0,10,10,0,0,0,0,0,0,10
sercoes obra civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
servicio de armado de casas prefabricadas,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
servicio de arquitectura y construccion,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,10,10,10,0,0,0,0,0,0
servicio de construccion civil,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
servicio de construccion de casas,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
servicio de obra,EUR,10,∞,∞,Medium,43,,,,,,,,10,10,10,10,0,10,0,0,0,0,10,10
servicios a la construccion,EUR,10,0%,-100%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,10,0
servicios arquitectura y construcción,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
servicios construcción,EUR,10,0%,0%,High,69,0.13,0.26,,,,,,0,10,0,10,0,10,0,10,10,10,0,10
servicios de construcciones,EUR,10,0%,0%,Unknown,,,,,,,,,10,10,0,0,10,0,0,0,0,0,0,0
servicios de edificación construcción de instalaciones y mantenimiento,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
servicios de ingeniería y construcción,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,10,0,0,0,0,0,0
servicios de la construcción,EUR,10,0%,-100%,Unknown,,,,,,,,,0,0,0,10,0,0,10,0,0,0,0,0
servicios de una empresa de construccion,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,10,0,0
servicios generales de construccion,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,10,0,0,0
servicios generales en construccion,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
servicios integrales de construccion,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,10,0,0
servicios integrales de la construccion,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
servicios integrales de mantenimiento y construccion,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
servicios integrales para la construccion,EUR,10,0%,∞,Medium,57,,,,,,,,0,0,0,0,10,0,0,0,0,10,0,10
servicios osdop,EUR,10,0%,0%,Low,0,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10
servicios para la construccion,EUR,10,-100%,-100%,Unknown,,,,,,,,,10,10,10,0,10,0,0,0,10,10,0,0
servicios relacionados con la construcción,EUR,10,0%,0%,Medium,57,,,,,,,,10,10,10,10,10,10,10,0,10,10,10,10
servicios relacionados con la construcción afip,EUR,10,0%,0%,Low,0,,,,,,,,0,10,10,10,10,10,10,10,10,10,10,10
servicios y construcciones orler,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
smb construcciones,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
sobre construcción,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
sunafil construccion civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
supervisión de obra de construcción,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,0,10,0,0,0,0,0
supervisión de proyectos de construcción,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
tecnicas de construcción,EUR,10,0%,0%,Low,14,,,,,,,,10,10,10,0,10,10,10,10,10,10,10,10
tecnisud,EUR,10,∞,0%,Low,0,,,,,,,,10,0,0,10,0,0,10,0,10,0,0,10
terra construcciones buenos aires,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,10,10,0,20,10,10,0,10,0
tiempo de ejecución de una obra de construcción,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,10,0,0,0,0,0,0,0,0,0
tipos de construcción civil,EUR,10,-100%,0%,Unknown,,,,,,,,,0,10,10,0,10,10,0,0,0,10,0,0
tipos de obra de construcción,EUR,10,0%,0%,Unknown,,,,,,,,,10,0,10,0,10,10,10,10,0,0,10,0
toberal constructora,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
top service construcciones,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,0,0,0
topografia de obra,EUR,10,0%,0%,Unknown,,,,,,,,,0,10,0,0,10,10,0,10,0,0,0,0
topografia en construccion civil,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,10,0,0,0
topografia en obra civil,EUR,10,0%,0%,Unknown,,,,,,,,,0,0,0,0,10,10,0,0,0,0,0,0
técnico en construcción argentina,EUR,10,∞,0%,High,100,,,,,,,,10,10,0,10,10,10,10,10,10,0,10,10
técnico en construcción civil capeco,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
técnico en obras civiles,EUR,10,0%,-100%,Unknown,,,,,,,,,0,0,0,0,0,10,0,0,0,0,10,0
técnico medio en construcción civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
u mayor construccion civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
urbial de obra civil,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
vega construcciones,EUR,10,0%,0%,Low,7,,,,,,,,10,10,10,30,10,10,10,10,10,10,10,10
vialmani construcciones,EUR,10,0%,-100%,Unknown,,,,,,,,,0,0,10,10,0,10,0,0,0,0,10,0
vidogar construcciones sa,EUR,10,0%,0%,Unknown,,,,,,,,,10,0,0,0,0,0,0,0,0,0,0,0
villanueva construcciones,EUR,10,0%,∞,Low,0,,,,,,,,0,0,10,0,10,10,0,0,0,10,10,10
viviendas y obras civiles sa,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
www arquitectura y construccion,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
www construcciones,EUR,10,-100%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,10,0,0,10,0,0
yugo construcciones,EUR,0,0%,0%,Unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
zarate construccion circunvalacion,EUR,10,∞,∞,Low,29,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,10
obras y servicios de construcción,EUR,,--,--,Unknown,,,,,,,,,,,,,,,,,,,,
